text,labels
Thousands of demonstrators have marched through London to protest the war in Iraq and demand the withdrawal of British troops from that country .,O O O O O O B-geo O O O O O B-geo O O O O O B-gpe O O O O O
"Iranian officials say they expect to get access to sealed sensitive parts of the plant Wednesday , after an IAEA surveillance system begins functioning .",B-gpe O O O O O O O O O O O O O O B-tim O O O B-org O O O O O
"Helicopter gunships Saturday pounded militant hideouts in the Orakzai tribal region , where many Taliban militants are believed to have fled to avoid an earlier military offensive in nearby South Waziristan .",O O B-tim O O O O O B-geo O O O O O B-org O O O O O O O O O O O O O O B-geo I-geo O
They left after a tense hour-long standoff with riot police .,O O O O O O O O O O O
"U.N. relief coordinator Jan Egeland said Sunday , U.S. , Indonesian and Australian military helicopters are ferrying out food and supplies to remote areas of western Aceh province that ground crews can not reach .",B-geo O O B-per I-per O B-tim O B-geo O B-gpe O B-gpe O O O O O O O O O O O O O B-geo O O O O O O O O
"Mr. Egeland said the latest figures show 1.8 million people are in need of food assistance - with the need greatest in Indonesia , Sri Lanka , the Maldives and India .",B-per I-per O O O O O O O O O O O O O O O O O O O O B-tim O B-per B-gpe O O B-geo O B-geo O
He said last week 's tsunami and the massive underwater earthquake that triggered it has affected millions in Asia and Africa .,O O O O O O O O O O O O O O O O O O B-geo O B-geo O
"Some 1,27,000 people are known dead .",O O O O O O O
"Aid is being rushed to the region , but the U.N. official stressed that bottlenecks and a lack of infrastructure remain a challenge .",O O O O O O O O O O B-geo O O O O O O O O O O O O O
Lebanese politicians are condemning Friday 's bomb blast in a Christian neighborhood of Beirut as an attempt to sow sectarian strife in the formerly war-torn country .,B-gpe O O O B-tim O O O O O O O O B-geo O O O O O O O O O O O O O
"In Beirut , a string of officials voiced their anger , while at the United Nations summit in New York , Prime Minister Fouad Siniora said the Lebanese people are resolute in preventing such attempts from destroying their spirit .",O B-geo O O O O O O O O O O O O B-org I-org O O B-geo I-geo O B-per O B-per I-per O O B-gpe O O O O O O O O O O O O
"One person was killed and more than 20 others injured in the bomb blast late Friday , which took place on a residential street .",O O O O O O O O O O O O O O O B-tim O O O O O O O O O
Lebanon has suffered a series of bombings since the massive explosion in February that killed former Prime Minister Rafik Hariri and 20 other people .,B-geo O O O O O O O O O O O B-tim O O O B-per O B-per I-per O O O O O
"Syria is widely accused of involvement in his killing , and Friday 's explosion comes days before U.N. investigator Detlev Mehlis is to return to Damascus to interview several Syrian officials about the assassination .",B-geo O O O O O O O O O O B-tim O O O O O B-geo O B-per I-per O O O O B-geo O O O B-gpe O O O O O
The global financial crisis has left Iceland 's economy in shambles .,O O O O O O B-org O O O O O
Israeli officials say Prime Minister Ariel Sharon will undergo a medical procedure Thursday to close a tiny hole in his heart discovered during treatment for a minor stroke suffered last month .,B-gpe O O B-per I-per I-per I-per O O O O O B-tim O O O O O O O O O O O O O O O O O O O
Doctors describe the tiny hole as a minor birth defect and say it is in the partition between the upper chambers of Mr. Sharon 's heart .,O O O O O O O O O O O O O O O O O O O O O O B-per I-per O O O
"The procedure , known as cardiac catheterization , involves inserting a catheter through a blood vessel into the heart , where an umbrella-like device will plug the hole .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Doctors say they expect Mr. Sharon will make a full recovery .,O O O O B-per I-per O O O O O O
"Mr. Sharon returned to work on December 25 , one week after his emergency hospitalization .",B-per I-per O O O O B-tim I-tim O B-tim O O O O O O
Doctors say the stroke has not caused any permanent damage .,O O O O O O O O O O O
The designers of the first private manned rocket to burst into space have received a $ 10 million prize created to promote space tourism .,O O O O O O O O O O O O O O O O O O O O O O O O O
SpaceShipOne designer Burt Rutan accepted the Ansari X Prize money and a trophy on behalf of his team Saturday during an awards ceremony in the U.S. state of Missouri .,B-art O B-per I-per O O B-art I-art I-art O O O O O O O O O B-tim O O O O O O B-geo O O B-geo O
"To win the money , SpaceShipOne had to blast off into space twice in a two-week period and fly at least 100 kilometers above Earth .",O O O O O B-art O O O O O O O O O B-tim I-tim O O O O O O O B-geo O
"The spacecraft made its flights in late September and early October , lifting off from California 's Mojave desert .",O O O O O O O B-tim O O B-tim O O O O B-geo O B-geo O O
"Three major banks have collapsed , unemployment has soared , and the value of the krona has plunged .",O O O O O O O O O O O O O O O O O O O
The vehicle had to carry a pilot and weight equivalent to two passengers .,O O O O O O O O O O O O O O
"SpaceShipOne was financed with more than $ 20 million from Paul Allen , a co-founder of the Microsoft Corporation .",B-art O O O O O O O O O B-per I-per O O O O O B-org I-org O
"North Korea says flooding caused by last week 's typhoon , Wipha , has destroyed 14,000 homes and 1,09,000 hectares of crops .",B-geo I-geo O O O O O O O O O B-per O O O O O O O O O O O
The state news agency KCNA reported the damage Monday .,O O O O B-org O O O B-tim O
"It says the floods also destroyed or damaged 8,000 public buildings and washed out roads , bridges and railways .",O O O O O O O O O O O O O O O O O O O O
The report did not mention any deaths or injuries .,O O O O O O O O O O
"Most of the heavy rains and flooding occurred in the southwestern part of the country , including the capital , Pyongyang .",O O O O O O O O O O O O O O O O O O O O B-geo O
"Last month , severe flooding in North Korea left 600 people dead or missing , and displaced more than 1,00,000 others .",O O O O O O B-geo I-geo O O O O O O O O O O O O O O
